"Label","age","default","balance","housing","loan","day","month","duration","campaign","pdays","previous"
"0",58,0,2143,1,0,5,5,261,1,-1,0
"0",44,0,29,1,0,5,5,151,1,-1,0
"0",33,0,2,1,1,5,5,76,1,-1,0
"0",47,0,1506,1,0,5,5,92,1,-1,0
"0",33,0,1,0,0,5,5,198,1,-1,0
"0",35,0,231,1,0,5,5,139,1,-1,0
"0",28,0,447,1,1,5,5,217,1,-1,0
"0",42,1,2,1,0,5,5,380,1,-1,0
"0",58,0,121,1,0,5,5,50,1,-1,0
"0",43,0,593,1,0,5,5,55,1,-1,0
"0",41,0,270,1,0,5,5,222,1,-1,0
"0",29,0,390,1,0,5,5,137,1,-1,0
"0",53,0,6,1,0,5,5,517,1,-1,0
"0",58,0,71,1,0,5,5,71,1,-1,0
"0",57,0,162,1,0,5,5,174,1,-1,0
"0",51,0,229,1,0,5,5,353,1,-1,0
"0",45,0,13,1,0,5,5,98,1,-1,0
"0",57,0,52,1,0,5,5,38,1,-1,0
"0",60,0,60,1,0,5,5,219,1,-1,0
"0",33,0,0,1,0,5,5,54,1,-1,0
"0",28,0,723,1,1,5,5,262,1,-1,0
"0",56,0,779,1,0,5,5,164,1,-1,0
"0",32,0,23,1,1,5,5,160,1,-1,0
"0",25,0,50,1,0,5,5,342,1,-1,0
"0",40,0,0,1,1,5,5,181,1,-1,0
"0",44,0,-372,1,0,5,5,172,1,-1,0
"0",39,0,255,1,0,5,5,296,1,-1,0
"0",52,0,113,1,1,5,5,127,1,-1,0
"0",46,0,-246,1,0,5,5,255,2,-1,0
"0",36,0,265,1,1,5,5,348,1,-1,0
"0",57,0,839,0,1,5,5,225,1,-1,0
"0",49,0,378,1,0,5,5,230,1,-1,0
"0",60,0,39,1,1,5,5,208,1,-1,0
"0",59,0,0,1,0,5,5,226,1,-1,0
"0",51,0,10635,1,0,5,5,336,1,-1,0
"0",57,0,63,1,0,5,5,242,1,-1,0
"0",25,0,-7,1,0,5,5,365,1,-1,0
"0",53,0,-3,0,0,5,5,1666,1,-1,0
"0",36,0,506,1,0,5,5,577,1,-1,0
"0",37,0,0,1,0,5,5,137,1,-1,0
"0",44,0,2586,1,0,5,5,160,1,-1,0
"0",50,0,49,1,0,5,5,180,2,-1,0
"0",60,0,104,1,0,5,5,22,1,-1,0
"0",54,0,529,1,0,5,5,1492,1,-1,0
"0",58,0,96,1,0,5,5,616,1,-1,0
"0",36,0,-171,1,0,5,5,242,1,-1,0
"0",58,0,-364,1,0,5,5,355,1,-1,0
"0",44,0,0,1,0,5,5,225,2,-1,0
"0",55,0,0,0,0,5,5,160,1,-1,0
"0",29,0,0,1,0,5,5,363,1,-1,0
"0",54,0,1291,1,0,5,5,266,1,-1,0
"0",48,0,-244,1,0,5,5,253,1,-1,0
"0",32,0,0,1,0,5,5,179,1,-1,0
"0",42,0,-76,1,0,5,5,787,1,-1,0
"0",24,0,-103,1,1,5,5,145,1,-1,0
"0",38,0,243,0,1,5,5,174,1,-1,0
"0",38,0,424,1,0,5,5,104,1,-1,0
"0",47,0,306,1,0,5,5,13,1,-1,0
"0",40,0,24,1,0,5,5,185,1,-1,0
"0",46,0,179,1,0,5,5,1778,1,-1,0
"0",32,0,0,1,0,5,5,138,1,-1,0
"0",53,0,989,1,0,5,5,812,1,-1,0
"0",57,0,249,1,0,5,5,164,1,-1,0
"0",33,0,790,1,0,5,5,391,1,-1,0
"0",49,0,154,1,0,5,5,357,1,-1,0
"0",51,0,6530,1,0,5,5,91,1,-1,0
"0",60,0,100,0,0,5,5,528,1,-1,0
"0",59,0,59,1,0,5,5,273,1,-1,0
"0",55,0,1205,1,0,5,5,158,2,-1,0
"0",35,0,12223,1,1,5,5,177,1,-1,0
"0",57,0,5935,1,1,5,5,258,1,-1,0
"0",31,0,25,1,1,5,5,172,1,-1,0
"0",54,0,282,1,1,5,5,154,1,-1,0
"0",55,0,23,1,0,5,5,291,1,-1,0
"0",43,0,1937,1,0,5,5,181,1,-1,0
"0",53,0,384,1,0,5,5,176,1,-1,0
"0",44,0,582,0,1,5,5,211,1,-1,0
"0",55,0,91,0,0,5,5,349,1,-1,0
"0",49,0,0,1,1,5,5,272,1,-1,0
"0",55,1,1,1,0,5,5,208,1,-1,0
"0",45,0,206,1,0,5,5,193,1,-1,0
"0",47,0,164,0,0,5,5,212,1,-1,0
"0",42,0,690,1,0,5,5,20,1,-1,0
"1",59,0,2343,1,0,5,5,1042,1,-1,0
"0",46,0,137,1,1,5,5,246,1,-1,0
"0",51,0,173,1,0,5,5,529,2,-1,0
"1",56,0,45,0,0,5,5,1467,1,-1,0
"1",41,0,1270,1,0,5,5,1389,1,-1,0
"0",46,0,16,1,1,5,5,188,2,-1,0
"0",57,0,486,1,0,5,5,180,2,-1,0
"0",42,0,50,0,0,5,5,48,1,-1,0
"0",30,0,152,1,1,5,5,213,2,-1,0
"0",60,0,290,1,0,5,5,583,1,-1,0
"0",60,0,54,1,0,5,5,221,1,-1,0
"0",57,0,-37,0,0,5,5,173,1,-1,0
"0",36,0,101,1,1,5,5,426,1,-1,0
"0",55,0,383,0,0,5,5,287,1,-1,0
"0",60,0,81,1,0,5,5,101,1,-1,0
"0",39,0,0,1,0,5,5,203,1,-1,0
"0",46,0,229,1,0,5,5,197,1,-1,0
"0",44,0,-674,1,0,5,5,257,1,-1,0
"0",53,0,90,0,0,5,5,124,1,-1,0
"0",52,0,128,1,0,5,5,229,1,-1,0
"0",59,0,179,1,0,5,5,55,3,-1,0
"0",27,0,0,1,0,5,5,400,1,-1,0
"0",44,0,54,1,0,5,5,197,1,-1,0
"0",47,0,151,1,0,5,5,190,1,-1,0
"0",34,0,61,0,1,5,5,21,1,-1,0
"0",59,0,30,1,0,5,5,514,1,-1,0
"0",45,0,523,1,0,5,5,849,2,-1,0
"0",29,0,31,1,0,5,5,194,1,-1,0
"0",46,0,79,0,0,5,5,144,1,-1,0
"0",56,0,-34,1,1,5,5,212,2,-1,0
"0",36,0,448,1,0,5,5,286,1,-1,0
"0",59,0,81,1,0,5,5,107,1,-1,0
"0",44,0,144,1,0,5,5,247,2,-1,0
"0",41,0,351,1,0,5,5,518,1,-1,0
"0",33,0,-67,1,0,5,5,364,1,-1,0
"0",59,0,262,0,0,5,5,178,1,-1,0
"0",57,0,0,0,0,5,5,98,1,-1,0
"0",56,0,56,1,0,5,5,439,1,-1,0
"0",51,0,26,1,0,5,5,79,1,-1,0
"0",34,0,3,1,0,5,5,120,3,-1,0
"0",43,0,41,1,1,5,5,127,2,-1,0
"0",52,0,7,0,1,5,5,175,1,-1,0
"0",33,0,105,1,0,5,5,262,2,-1,0
"0",29,0,818,1,1,5,5,61,1,-1,0
"0",34,0,-16,1,1,5,5,78,1,-1,0
"0",31,0,0,1,0,5,5,143,1,-1,0
"1",55,0,2476,1,0,5,5,579,1,-1,0
"0",55,0,1185,0,0,5,5,677,1,-1,0
"0",32,0,217,1,0,5,5,345,1,-1,0
"0",38,0,1685,1,0,5,5,185,1,-1,0
"0",55,0,802,1,1,5,5,100,2,-1,0
"0",28,0,0,1,0,5,5,125,2,-1,0
"0",23,0,94,1,0,5,5,193,1,-1,0
"0",32,0,0,1,0,5,5,136,1,-1,0
"0",43,0,0,0,0,5,5,73,1,-1,0
"0",32,0,517,1,0,5,5,528,1,-1,0
"0",46,0,265,1,0,5,5,541,1,-1,0
"0",53,0,947,1,0,5,5,163,1,-1,0
"0",34,0,3,1,0,5,5,301,1,-1,0
"0",57,0,42,0,0,5,5,46,1,-1,0
"0",37,0,37,1,0,5,5,204,1,-1,0
"0",59,0,57,1,0,5,5,98,1,-1,0
"0",33,0,22,1,0,5,5,71,1,-1,0
"0",56,0,8,1,0,5,5,157,2,-1,0
"0",48,0,293,1,0,5,5,243,1,-1,0
"0",43,0,3,1,0,5,5,186,2,-1,0
"0",54,0,348,1,0,5,5,579,2,-1,0
"0",51,0,-19,1,0,5,5,163,2,-1,0
"0",26,0,0,1,0,5,5,610,2,-1,0
"0",40,0,-4,1,0,5,5,2033,1,-1,0
"0",39,0,18,1,0,5,5,85,1,-1,0
"0",50,0,139,0,0,5,5,114,2,-1,0
"0",41,0,0,1,0,5,5,114,2,-1,0
"0",51,0,1883,1,0,5,5,57,1,-1,0
"0",60,0,216,1,0,5,5,238,1,-1,0
"0",52,0,782,1,0,5,5,93,3,-1,0
"0",48,0,904,1,0,5,5,128,2,-1,0
"0",48,0,1705,1,0,5,5,107,1,-1,0
"0",39,0,47,1,0,5,5,181,1,-1,0
"0",47,0,176,1,0,5,5,303,2,-1,0
"0",40,0,1225,1,0,5,5,558,5,-1,0
"0",45,0,86,1,0,5,5,270,1,-1,0
"0",26,0,82,1,0,5,5,228,1,-1,0
"0",52,0,271,1,0,5,5,99,1,-1,0
"0",54,0,1378,1,0,5,5,240,1,-1,0
"1",54,0,184,0,0,5,5,673,2,-1,0
"0",50,0,0,0,0,5,5,233,3,-1,0
"0",35,0,0,1,0,5,5,1056,1,-1,0
"0",44,0,1357,1,1,5,5,250,1,-1,0
"0",53,0,19,1,0,5,5,252,1,-1,0
"0",35,0,434,0,0,5,5,138,1,-1,0
"0",60,0,92,1,0,5,5,130,1,-1,0
"0",53,0,1151,1,0,5,5,412,1,-1,0
"0",48,0,41,1,0,5,5,179,2,-1,0
"0",34,0,51,1,0,5,5,19,2,-1,0
"0",54,0,214,1,0,5,5,458,2,-1,0
"0",51,0,1161,1,0,5,5,717,1,-1,0
"0",31,0,37,1,0,5,5,313,1,-1,0
"0",35,0,787,1,0,5,5,683,2,-1,0
"0",35,0,59,1,0,5,5,1077,1,-1,0
"0",38,0,253,1,0,5,5,416,1,-1,0
"0",36,0,211,1,0,5,5,146,2,-1,0
"0",58,0,235,1,0,5,5,167,1,-1,0
"0",40,0,4384,1,0,5,5,315,1,-1,0
"0",54,0,4080,0,0,5,5,140,1,-1,0
"0",34,0,53,1,1,5,5,346,1,-1,0
"0",31,0,0,1,0,5,5,562,1,-1,0
"0",51,0,2127,1,0,5,5,172,1,-1,0
"0",33,0,377,1,0,5,5,217,1,-1,0
"0",55,0,73,1,0,5,5,142,2,-1,0
"0",42,0,445,1,0,5,5,67,1,-1,0
"0",34,0,243,1,0,5,5,291,1,-1,0
"0",33,0,307,1,0,5,5,309,2,-1,0
"0",38,0,155,1,0,5,5,248,1,-1,0
"0",50,0,173,0,1,5,5,98,1,-1,0
"0",43,0,400,1,0,5,5,256,1,-1,0
"0",61,0,1428,1,0,5,5,82,2,-1,0
"0",47,0,219,1,0,5,5,577,1,-1,0
"0",48,0,7,1,0,5,5,286,1,-1,0
"0",44,0,575,1,0,5,5,477,1,-1,0
"0",35,0,298,1,0,5,5,611,2,-1,0
"0",35,0,0,1,0,5,5,471,1,-1,0
"0",50,0,5699,1,0,5,5,381,2,-1,0
"0",41,0,176,1,1,5,5,42,1,-1,0
"0",41,0,517,1,0,5,5,251,1,-1,0
"0",39,0,257,1,0,5,5,408,1,-1,0
