"Label","LOAN","MORTDUE","VALUE","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"1",1100,25860,39025,10.5,0,0,94.366666667,1,9,NA
"1",1300,70053,68400,7,0,2,121.83333333,0,14,NA
"1",1500,13500,16700,4,0,0,149.46666667,1,10,NA
"1",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0",1700,97800,112000,3,0,0,93.333333333,0,14,NA
"1",1700,30548,40320,9,0,0,101.46600191,1,8,37.113613558
"1",1800,48649,57037,5,3,2,77.1,1,17,NA
"1",1800,28502,43034,11,0,0,88.766029879,0,8,36.884894093
"1",2000,32700,46740,3,0,2,216.93333333,1,12,NA
"1",2000,NA,62250,16,0,0,115.8,0,13,NA
"1",2000,22608,NA,18,NA,NA,NA,NA,NA,NA
"1",2000,20627,29800,11,0,1,122.53333333,1,9,NA
"1",2000,45000,55000,3,0,0,86.066666667,2,25,NA
"0",2000,64536,87400,2.5,0,0,147.13333333,0,24,NA
"1",2100,71000,83850,8,0,1,123,0,16,NA
"1",2200,24280,34687,NA,0,1,300.86666667,0,8,NA
"1",2200,90957,102600,7,2,6,122.9,1,22,NA
"1",2200,23030,NA,19,NA,NA,NA,NA,NA,3.7113122995
"1",2300,28192,40150,4.5,0,0,54.6,1,16,NA
"0",2300,102370,120953,2,0,0,90.992533467,0,13,31.588503178
"1",2300,37626,46200,3,0,1,122.26666667,1,14,NA
"1",2400,50000,73395,5,1,0,NA,1,0,NA
"1",2400,28000,40800,12,0,0,67.2,2,22,NA
"1",2400,18000,NA,22,NA,2,121.73333333,0,10,NA
"1",2400,NA,17180,NA,0,0,14.566666667,3,4,NA
"1",2400,34863,47471,12,0,0,70.491080032,1,21,38.263600731
"0",2400,98449,117195,4,0,0,93.811774855,0,13,29.681827045
"1",2500,15000,20200,18,0,0,136.06666667,1,19,NA
"1",2500,25116,36350,10,1,2,276.96666667,0,9,NA
"0",2500,7229,44516,NA,0,0,208,0,12,NA
"0",2500,71408,78600,8,0,0,255.73333333,0,12,NA
"1",2800,50795,63100,26,2,15,145.63333333,3,45,NA
"1",2800,4000,60850,16,4,0,112.63333333,2,9,NA
"1",2900,78600,113000,6,1,0,165.33333333,2,26,NA
"0",2900,103949,112505,1,0,0,96.10232967,0,13,30.051136286
"0",2900,104373,120702,2,0,0,101.54029753,0,13,29.915859028
"1",2900,7750,67996,16,3,0,122.20466276,2,8,36.211347998
"1",2900,61962,70915,2,0,0,282.80165924,3,37,49.20639579
"0",3000,104570,121729,2,0,0,85.884371895,0,14,32.059783267
"1",3000,7000,20300,3,0,0,50.8,5,9,NA
"1",3000,NA,8800,2,0,1,77.766666667,0,3,NA
"1",3000,NA,33000,1,0,1,23.3,1,2,NA
"1",3000,119826,193500,8,0,0,130.03335846,0,27,NA
"1",3000,20000,29750,2,0,0,187.06666667,0,12,NA
"1",3000,NA,14500,3,0,0,9.3,14,2,NA
"1",3000,NA,14100,1,0,0,104.2,0,19,NA
"1",3000,47000,82700,10,0,1,262.16666667,5,26,NA
"1",3000,34542,45900,8.5,0,2,62.366666667,0,10,NA
"0",3000,58000,71500,10,NA,2,211.93333333,0,25,NA
"0",3000,47000,56400,21,0,0,201.86666667,0,20,NA
"1",3100,39589,36100,1.5,0,0,153.16666667,1,14,NA
"0",3100,NA,70400,NA,NA,NA,NA,NA,NA,NA
"0",3200,67848,74566,10,NA,1,206.42660206,0,25,40.115677278
"1",3200,48603,61000,28,0,4,122.03333333,1,25,NA
"1",3200,27200,40834,NA,0,0,298.13156403,0,7,35.553538789
"1",3200,54000,64850,1,0,0,121.86666667,3,21,NA
"0",3200,74864,87266,7,0,0,250.63126922,0,12,42.909997351
"1",3200,23159,NA,20,NA,2,117.80574784,0,9,0.5244992154
"1",3300,126541,134527,9,1,0,139,0,36,NA
"1",3300,130518,164317,9,0,6,192.28914897,0,33,35.73055919
"1",3400,37000,52000,2,0,1,183.29991561,0,6,NA
"1",3500,23200,38666,11,0,0,162.36666667,0,14,NA
"1",3500,19400,20494,5,0,0,95.933333333,0,9,NA
"1",3600,61584,61800,10,NA,NA,NA,NA,NA,NA
"1",3600,41900,52490,3,0,0,72.033333333,2,4,NA
