"Label","card_tenure","risk_score","num_promoted","avg_bal"
"0",143,520,0,4108
"0",91,694,0,3268
"0",139,520,0,3785
"0",147,676,0,3402
"0",222,717,0,3580
"0",163,540,0,3056
"0",123,744,0,1816
"0",83,656,0,3144
"0",60,756,0,NA
"0",171,520,0,2641
"0",210,704,0,3976
"0",143,654,0,3233
"0",75,693,0,3912
"0",186,677,0,3233
"0",151,696,0,1491
"0",115,667,0,2046
"0",159,691,0,2896
"0",226,699,0,2701
"0",163,631,0,3126
"0",107,757,0,3510
"0",91,715,0,2285
"0",147,683,0,2687
"0",75,747,0,2825
"0",246,760,0,2059
"0",230,520,0,3760
"0",638,520,0,893
"0",175,697,0,1816
"0",123,520,0,3056
"0",155,653,0,2276
"0",163,520,0,2461
"0",87,615,0,3020
"0",151,728,0,2878
"0",67,756,0,3728
"1",246,602,0,3941
"0",63,656,0,3577
"0",71,520,0,3069
"0",179,670,0,2899
"0",119,740,0,-132
"1",171,717,0,3670
"0",167,695,0,3443
"0",167,690,0,3461
"0",115,730,0,3200
"0",119,689,0,4065
"0",111,697,0,1890
"0",95,683,1,2099
"1",48,755,0,1481
"0",119,688,0,3498
"0",103,745,0,2630
"0",40,740,0,1774
"0",95,598,0,3711
"0",127,684,0,3534
"0",135,577,0,3144
"0",182,678,0,3445
"0",91,652,0,3277
"0",103,682,0,2524
"0",119,621,0,3011
"0",202,683,0,3040
"0",135,731,0,2524
"0",115,648,0,3233
"0",56,680,0,NA
"0",186,732,0,3609
"0",167,565,0,3136
"0",163,692,0,3507
"0",198,632,0,2545
"0",194,676,0,3330
"0",99,695,0,2967
"0",151,667,0,3554
"0",87,717,0,3410
"1",52,709,0,3745
"0",103,520,0,1338
"0",83,670,0,3410
"0",99,696,0,3764
"0",238,715,0,3593
"0",135,520,0,4083
"0",147,672,0,3852
"0",246,520,0,2283
"0",83,744,0,2878
"0",79,683,0,2837
"0",131,695,0,3193
"0",44,736,0,3764
"0",186,704,0,813
"0",218,735,0,293
"0",163,674,0,3799
"0",151,634,0,3711
"0",171,698,0,1203
"0",143,604,0,2980
"0",60,742,0,2524
"0",163,708,0,1005
"0",NA,520,0,1113
"0",56,759,0,3764
"0",143,667,0,3233
"0",12,757,0,3988
"0",36,757,0,3705
"0",246,520,0,2557
"0",131,681,0,3330
"0",60,520,0,2524
"0",99,666,0,-132
"0",79,758,0,-132
"0",210,760,0,3852
"0",143,694,0,3210
"0",194,606,0,3546
"0",52,570,0,3941
"0",230,739,0,3144
"0",NA,668,0,3615
"0",182,697,0,2723
"0",NA,651,0,NA
"0",28,665,0,3700
"0",32,708,0,NA
"0",52,689,0,2569
"0",71,713,0,3020
"0",246,520,0,2157
"0",210,520,0,2989
"0",155,631,0,3095
"0",131,727,0,2179
"0",246,687,0,3892
"0",95,520,0,3852
"0",198,520,0,2536
"0",48,683,0,3870
"0",44,747,0,2878
"0",190,631,0,3145
"0",107,705,0,NA
"0",182,698,0,NA
"1",44,734,0,3262
"0",143,520,0,2667
"0",107,729,0,3631
"0",28,751,0,NA
"0",155,695,0,3260
"0",175,615,0,3551
"0",60,757,0,3675
"0",16,710,0,3906
"0",56,712,0,3534
"0",79,721,0,3408
"0",123,667,0,2701
"0",190,520,0,4035
"0",186,707,0,89
"0",190,693,0,2377
"0",167,627,0,3923
"0",127,755,0,2819
"0",151,718,0,2561
"0",171,715,0,3650
"0",115,760,0,3568
"0",131,669,0,2453
"0",218,717,0,3262
"0",214,520,0,2573
"0",496,520,0,3335
"0",44,760,0,3865
"0",218,664,0,3286
"0",107,741,0,3286
"0",242,592,0,3521
"0",135,675,0,2861
"0",32,520,0,1952
"0",147,687,0,2769
"0",206,757,0,3410
"1",119,637,0,3551
"0",194,551,0,3941
"0",75,655,0,3587
"0",111,654,0,2841
"0",131,520,0,3155
"1",99,520,0,2898
"0",103,727,0,3388
"0",52,696,0,3669
"0",163,716,0,1632
"0",103,679,0,2967
"0",48,726,0,3897
"0",123,731,0,3360
"0",32,760,0,3887
"0",222,520,0,955
"0",182,706,0,3675
"0",198,520,0,3437
"0",242,683,0,3410
"1",32,746,0,3906
"0",119,672,0,3197
"0",246,756,0,3551
"0",107,520,0,1004
"0",NA,715,0,2701
"0",107,698,0,3826
"0",75,700,0,3197
"0",103,708,0,2878
"0",79,564,0,3203
"0",24,760,0,3764
