customer_id,card_tenure,risk_score,num_promoted,avg_bal,geo_group,res_type,
SB0000057824,198,755,0,3818,E,,
SB0000030501,206,647,0,3357,SE,CN,
SB0000082532,107,629,0,3728,N,CN,
SB0000115240,36,663,0,3110,W,CO,
SB0000055443,210,695,0,1900,SE,CO,
SB0000119108,79,596,0,3680,N,RE,
SB0000071470,155,520,0,2826,E,TO,
SB0000061229,163,760,0,3675,E,SI,
SB0000148106,210,609,0,3976,SE,RE,
SB0000035269,210,709,0,3020,SE,CO,
SB0000088625,167,650,0,3233,E,CN,
SB0000094130,44,640,0,3339,W,CN,
SB0000038484,218,760,0,3750,SE,SI,
SB0000141793,175,626,0,2156,E,CN,
SB0000079488,99,520,0,3253,N,TO,
SB0000137111,194,676,0,3978,E,CO,
SB0000071653,103,704,0,3489,N,CO,
SB0000066549,56,734,0,3759,W,SI,
SB0000015760,202,744,0,3233,SE,SI,
SB0000143549,83,721,0,3332,N,,
SB0000087682,139,653,0,3749,E,CO,
SB0000130388,163,699,0,2347,E,CO,
SB0000023760,99,611,0,3425,N,RE,
SB0000081302,91,722,0,3722,N,CO,
SB0000068751,139,678,0,3498,E,CO,
SB0000128482,48,743,0,3197,W,SI,
SB0000031189,103,712,0,3508,N,CO,
SB0000095591,75,715,0,2185,N,CO,
SB0000079020,167,676,0,3168,E,CO,
SB0000035945,103,734,0,3683,N,SI,
SB0000020365,123,653,0,2930,E,CO,
SB0000049178,159,757,0,4029,E,SI,
SB0000032769,167,565,0,3570,E,RE,
SB0000086425,210,727,0,2701,SE,SI,
SB0000043149,56,520,0,3658,W,TO,
SB0000026733,79,616,0,2457,N,CN,
SB0000083350,52,721,0,3188,W,CO,
SB0000034758,151,595,0,3764,E,RE,
SB0000123442,151,686,0,3390,E,CO,
SB0000095039,67,520,0,2886,W,TO,
SB0000045934,103,613,0,3794,N,RE,
SB0000100991,179,711,0,3155,E,CO,
SB0000051943,52,520,0,4041,W,TO,
SB0000122833,214,759,0,3410,SE,,
SB0000127591,147,520,0,3032,E,TO,
SB0000057390,175,699,0,3381,E,CO,
SB0000057541,115,691,0,2701,N,CO,
SB0000057007,131,677,0,3631,E,CO,
SB0000031312,48,694,0,3303,W,CO,
SB0000145356,206,520,0,2474,SE,TO,
SB0000024739,40,684,0,3924,W,CO,
SB0000098328,123,661,0,3233,E,CO,
SB0000063854,214,760,0,2772,SE,SI,
SB0000070597,155,664,0,3041,E,CO,
SB0000095889,230,757,0,3227,SE,SI,
SB0000108986,135,697,0,2223,E,CO,
SB0000054643,182,754,0,931,E,SI,
SB0000087087,202,710,0,3792,SE,CO,
SB0000103096,186,520,0,4116,E,TO,
SB0000022210,48,733,0,3250,W,SI,
SB0000081431,198,520,0,381,E,TO,
SB0000070641,139,675,0,3587,,CO,
SB0000095678,139,650,0,2380,E,CN,
SB0000051450,79,759,0,2479,N,SI,
