"Method","AUC_mean","AUC_std","AUC_rank"
"Original",0.838671023965142,0,9
"Over",0.842462962962963,0.0148365008496476,8
"Under",0.811159041394335,0.0342915406263772,12
"CBO",0.816995642701525,0.0310609175127142,11
"SBC",0.795159041394335,0.0405911295592445,13
"Smote",0.837288671023965,0.0590237907985593,10
"B_Smote1",0.852962962962963,0.0430539912944343,5
"B_Smote2",0.849354030501089,0.023283380428396,7
"Safe_Smote",0.851074074074074,0.0183673309685295,6
"ADASYN",0.854143790849673,0.040354869624802,4
"MBS_linear",0.866117647058824,0.00498425621250699,1
"MBS_CART",0.856976034858388,0.0152294852788926,2
"MBS_SVR",0.854348583877996,0.00767994867449441,3
