"Method","AUC_mean","AUC_std","AUC_rank"
"Original",0.824578703703704,0,3
"Over",0.824163888888889,0.00327269497053912,4
"Under",0.82250462962963,0.00534626498924632,8
"CBO",0.799365277777778,0.0134080908711048,13
"SBC",0.820873611111111,0.00703550260436393,10
"Smote",0.823828703703704,0.00144339927034625,5
"B_Smote1",0.822559722222222,0.0016707548305749,7
"B_Smote2",0.823196296296296,0.00102021192162328,6
"Safe_Smote",0.824814814814815,0.00140967718220659,2
"ADASYN",0.822416666666667,0.00162392521409049,9
"MBS_linear",0.825423611111111,0.000431169438442553,1
"MBS_CART",0.819429166666667,0.00232323147792492,12
"MBS_SVR",0.820788425925926,0.000583874710398482,11
