"Method","AUC_mean","AUC_std","AUC_rank"
"Original",0.867779982743745,0,12
"Over",0.869594434857636,0.0108914799332161,9
"Under",0.86980595340811,0.0158458539085439,8
"CBO",0.836969650560828,0.0146462519829419,13
"SBC",0.883748727351165,0.0218960050066087,4
"Smote",0.868402804141501,0.0174894384104329,11
"B_Smote1",0.872650625539258,0.0182145417122773,7
"B_Smote2",0.876851402070751,0.00725159528395611,6
"Safe_Smote",0.868851941328732,0.0128201827045266,10
"ADASYN",0.886133628127696,0.0182372238787182,3
"MBS_linear",0.890201919758412,0.00538891255833533,1
"MBS_CART",0.883454033649698,0.00825467612291605,5
"MBS_SVR",0.889041242450388,0.00864687519665157,2
